date,segment,active_subscribers,new_subscribers,churned_subscribers,churn_rate_pct,trial_users,trial_conversion_rate_pct,arpu_usd,marketing_spend_usd,customer_acquisition_cost_usd,support_tickets,nps_score,competitor_price_index,tech_spending_index,unemployment_rate_pct,consumer_confidence_index,monthly_revenue_usd,target_next_month_revenue_usd
2023-12-01,AI_Assistant,192041,11335,7124,3.793,32844,34.51,25.42,232597.55,20.52,3141,39.6,81.79,101.46,4.72,89.1,4881398.56,4999722.84
2024-01-01,AI_Assistant,196378,12565,8228,4.285,29867,42.07,25.46,241773.99,19.24,1855,23.5,117.43,103.21,4.66,88.6,4999722.84,5130988.13
2024-02-01,AI_Assistant,200895,12857,8340,4.247,34473,37.3,25.54,355236.88,27.63,2841,30.0,78.32,102.86,4.68,89.46,5130988.13,5350109.81
2024-03-01,AI_Assistant,208279,15826,8442,4.202,38131,41.5,25.69,366958.07,23.19,2877,23.3,123.1,103.16,4.88,89.31,5350109.81,5500355.01
2024-04-01,AI_Assistant,212975,14781,10084,4.842,43597,33.9,25.83,272355.65,18.43,3920,23.5,114.52,104.98,4.77,91.24,5500355.01,5586241.6
2024-05-01,AI_Assistant,216138,12180,9018,4.234,28254,43.11,25.85,371088.27,30.47,3269,38.6,81.96,107.29,4.62,91.41,5586241.6,5899369.62
2024-06-01,AI_Assistant,226230,20147,10054,4.652,56139,35.89,26.08,521845.69,25.9,2838,35.3,119.63,108.95,4.76,92.04,5899369.62,5983920.22
2024-07-01,AI_Assistant,228471,12424,10182,4.501,30279,41.03,26.19,241326.23,19.42,2247,27.6,77.54,110.2,4.67,93.66,5983920.22,6195325.02
2024-08-01,AI_Assistant,235283,17060,10248,4.485,49863,34.21,26.33,503123.19,29.49,3911,21.1,86.35,111.13,4.79,93.72,6195325.02,6324627.04
2024-09-01,AI_Assistant,240534,15095,9844,4.184,40872,36.93,26.29,322939.97,21.39,2256,23.3,80.39,110.71,4.51,95.0,6324627.04,6490547.88
2024-10-01,AI_Assistant,247105,18217,11646,4.842,46804,38.92,26.27,443768.08,24.36,3604,22.1,123.19,110.85,4.55,97.19,6490547.88,6643267.59
2024-11-01,AI_Assistant,251332,16413,12186,4.931,45885,35.77,26.43,403795.43,24.6,3253,33.7,122.39,111.05,4.52,97.09,6643267.59,6835193.4
2021-01-01,Streaming,3950710,96990,146279,3.657,277894,34.9,14.0,2456059.17,25.32,48617,32.4,102.84,100.8,5.55,103.75,55295399.16,56155269.63
2021-02-01,Streaming,3998482,189910,142138,3.598,520312,36.5,14.04,4584890.85,24.14,59697,26.9,95.66,102.29,5.22,104.61,56155269.63,56875789.26
2021-03-01,Streaming,4042264,169396,125614,3.142,531876,31.85,14.07,4537772.71,26.79,48583,37.6,97.75,104.52,5.51,105.15,56875789.26,57775291.84
2021-04-01,Streaming,4089713,202013,154564,3.824,601710,33.57,14.13,4041024.45,20.0,42756,33.2,107.02,107.56,5.38,105.38,57775291.84,58051457.01
2021-05-01,Streaming,4117234,165889,138368,3.383,497217,33.36,14.1,3334167.7,20.1,44264,40.6,100.92,108.74,5.32,104.55,58051457.01,59412401.34
2021-06-01,Streaming,4189864,228156,155527,3.777,690583,33.04,14.18,7170278.88,31.43,50740,31.2,98.14,109.78,5.49,104.39,59412401.34,60219057.13
2021-07-01,Streaming,4241911,194771,142723,3.406,598360,32.55,14.2,6047568.5,31.05,62702,37.7,103.67,112.47,5.53,104.17,60219057.13,61096892.12
2021-08-01,Streaming,4301813,197080,137179,3.234,448816,43.91,14.2,3835079.33,19.46,77799,31.5,102.01,114.16,5.5,103.46,61096892.12,61992225.18
2021-09-01,Streaming,4340595,159603,120821,2.809,359866,44.35,14.28,3621828.24,22.69,76543,41.7,89.04,114.41,5.21,103.15,61992225.18,61848302.64
2021-10-01,Streaming,4326691,151939,165843,3.821,423464,35.88,14.29,2804771.96,18.46,82004,36.4,99.91,115.46,5.27,103.16,61848302.64,61612541.38
2021-11-01,Streaming,4329832,172614,169472,3.917,488888,35.31,14.23,3138692.98,18.18,69115,31.6,101.68,115.28,5.35,104.26,61612541.38,60893900.59
2021-12-01,Streaming,4289426,92131,132537,3.061,239294,38.5,14.2,2208844.87,23.98,75483,33.1,88.13,114.88,5.43,103.87,60893900.59,60985784.77
2022-01-01,Streaming,4290239,138069,137257,3.2,410829,33.61,14.22,3361444.46,24.35,61319,22.9,102.28,114.97,5.19,103.46,60985784.77,61085068.39
2022-02-01,Streaming,4295782,145414,139871,3.26,429444,33.86,14.22,3171809.69,21.81,80628,43.7,93.88,112.7,5.21,102.69,61085068.39,61351930.72
2022-03-01,Streaming,4309852,162440,148371,3.454,393426,41.29,14.24,3449426.57,21.24,69228,31.5,94.47,110.44,5.05,100.36,61351930.72,62491631.01
2022-04-01,Streaming,4380010,242154,171995,3.991,765847,31.62,14.27,7560456.94,31.22,42455,22.9,104.8,109.18,5.02,99.48,62491631.01,62187274.65
2022-05-01,Streaming,4356738,145896,169168,3.862,440232,33.14,14.27,3324298.27,22.79,48417,41.3,102.74,107.34,5.3,98.62,62187274.65,62694772.23
2022-06-01,Streaming,4371506,156029,141261,3.242,477615,32.67,14.34,3288022.37,21.07,86095,33.1,109.27,106.72,5.36,99.63,62694772.23,63679210.81
2022-07-01,Streaming,4417890,193306,146922,3.361,429616,44.99,14.41,4206619.47,21.76,64058,26.8,111.23,104.82,5.13,98.49,63679210.81,63576868.77
2022-08-01,Streaming,4391230,147354,174013,3.939,445388,33.08,14.48,3745028.26,25.42,78079,28.6,90.49,102.37,5.27,97.72,63576868.77,64509117.92
2022-09-01,Streaming,4438098,204935,158067,3.6,573923,35.71,14.54,5596872.77,27.31,44845,33.3,112.42,102.82,5.15,96.68,64509117.92,64623761.21
2022-10-01,Streaming,4443120,166881,161859,3.647,397906,41.94,14.54,3214916.2,19.26,76652,39.0,89.13,101.61,4.98,94.75,64623761.21,63929826.82
2022-11-01,Streaming,4395031,144375,192465,4.332,452880,31.88,14.55,4079463.68,28.26,46496,28.6,111.37,100.77,5.11,94.69,63929826.82,64604357.67
2022-12-01,Streaming,4454711,191278,131598,2.994,499771,38.27,14.5,5330726.8,27.87,67620,31.2,111.27,98.55,5.27,94.35,64604357.67,65125347.51
2023-01-01,Streaming,4507361,219762,167113,3.751,562805,39.05,14.45,4237484.81,19.28,85675,25.8,111.32,97.36,5.01,94.09,65125347.51,66575634.91
2023-02-01,Streaming,4584338,249974,172997,3.838,795060,31.44,14.52,7660965.82,30.65,72249,31.8,112.87,96.99,5.23,92.53,66575634.91,67378597.39
2023-03-01,Streaming,4637958,222467,168846,3.683,705456,31.54,14.53,6945366.52,31.22,63496,34.1,113.09,95.54,4.59,92.9,67378597.39,69983033.84
2023-04-01,Streaming,4792112,293039,138886,2.995,808987,36.22,14.6,7248291.75,24.73,89229,20.8,90.39,95.83,5.08,91.11,69983033.84,69676108.35
2023-05-01,Streaming,4763523,167094,195683,4.083,420867,39.7,14.63,4471838.36,26.76,88753,24.7,87.76,95.36,4.95,91.0,69676108.35,69907439.96
2023-06-01,Streaming,4777025,192656,179154,3.761,437334,44.05,14.63,3493385.46,18.13,41236,49.3,112.55,95.41,4.88,92.28,69907439.96,68730090.88
2023-07-01,Streaming,4680747,54464,150742,3.156,125838,43.28,14.68,1250754.32,22.96,53580,29.5,82.7,95.38,4.91,91.11,68730090.88,69325216.66
2023-08-01,Streaming,4720453,185773,146067,3.121,586377,31.68,14.69,5419343.55,29.17,52434,37.3,84.65,98.02,4.58,90.41,69325216.66,70067768.74
2023-09-01,Streaming,4760792,184404,144065,3.052,588463,31.34,14.72,3917360.12,21.24,91944,42.8,88.86,98.99,4.83,90.35,70067768.74,70029864.49
2023-10-01,Streaming,4736511,152203,176483,3.707,367771,41.39,14.79,3843977.93,25.26,71840,23.7,84.03,99.09,4.89,89.94,70029864.49,71035477.79
2023-11-01,Streaming,4805149,240868,172230,3.636,583970,41.25,14.78,5090371.3,21.13,69404,43.4,122.39,101.23,5.04,88.81,71035477.79,69165123.23
2023-12-01,Streaming,4698767,58249,164631,3.426,130734,44.56,14.72,1743448.15,29.93,39587,37.8,81.9,101.46,4.72,89.1,69165123.23,69433814.1
2024-01-01,Streaming,4722654,162268,138382,2.945,474379,34.21,14.7,4047340.58,24.94,42374,40.3,78.82,103.21,4.66,88.6,69433814.1,70471581.57
2024-02-01,Streaming,4776101,221464,168017,3.558,633856,34.94,14.76,5672346.82,25.61,87756,35.3,123.69,102.86,4.68,89.46,70471581.57,71868421.94
2024-03-01,Streaming,4855499,254160,174762,3.659,771887,32.93,14.8,7056644.51,27.76,78473,42.3,82.95,103.16,4.88,89.31,71868421.94,73033933.13
2024-04-01,Streaming,4931566,250228,174161,3.587,550782,45.43,14.81,6452514.28,25.79,84229,29.5,78.65,104.98,4.77,91.24,73033933.13,74262101.76
2024-05-01,Streaming,4998309,212164,145421,2.949,601273,35.29,14.86,5422856.3,25.56,86761,37.8,118.8,107.29,4.62,91.41,74262101.76,75757229.15
2024-06-01,Streaming,5099944,252428,150793,3.017,745596,33.86,14.85,7331336.24,29.04,51433,38.9,77.69,108.95,4.76,92.04,75757229.15,75293035.05
2024-07-01,Streaming,5061692,129931,168183,3.298,399089,32.56,14.88,4109576.61,31.63,99343,31.8,80.13,110.2,4.67,93.66,75293035.05,75454071.58
2024-08-01,Streaming,5050396,156206,167502,3.309,471551,33.13,14.94,3363905.92,21.54,40466,34.4,117.83,111.13,4.79,93.72,75454071.58,73580276.97
2024-09-01,Streaming,4927471,62187,185112,3.665,179949,34.56,14.93,1311565.51,21.09,44291,40.7,81.93,110.71,4.51,95.0,73580276.97,71787147.14
2024-10-01,Streaming,4816001,83389,194859,3.955,245650,33.95,14.91,1734906.66,20.81,88699,36.2,127.66,110.85,4.55,97.19,71787147.14,72395748.9
2024-11-01,Streaming,4855326,212548,173223,3.597,632669,33.6,14.91,6119871.63,28.79,88063,38.1,126.99,111.05,4.52,97.09,72395748.9,73010915.61
2021-01-01,Telecom_Hosting,915503,36389,20887,2.321,80480,45.22,8.97,691918.22,19.01,11636,52.9,98.51,100.8,5.55,103.75,8209298.17,8433018.45
2021-02-01,Telecom_Hosting,936204,47009,26308,2.874,110280,42.63,9.01,913816.05,19.44,13903,36.3,99.35,102.29,5.22,104.61,8433018.45,8689399.13
2021-03-01,Telecom_Hosting,962632,46510,20081,2.145,118628,39.21,9.03,858791.33,18.46,8609,32.6,98.16,104.52,5.51,105.15,8689399.13,8801420.15
2021-04-01,Telecom_Hosting,972709,35425,25348,2.633,82336,43.03,9.05,1082131.39,30.55,14724,46.0,103.07,107.56,5.38,105.38,8801420.15,8972934.15
2021-05-01,Telecom_Hosting,987807,42813,27716,2.849,108722,39.38,9.08,1259028.95,29.41,8852,37.1,104.85,108.74,5.32,104.55,8972934.15,9063836.85
2021-06-01,Telecom_Hosting,997196,40649,31259,3.164,113543,35.8,9.09,1101749.13,27.1,13713,26.2,105.66,109.78,5.49,104.39,9063836.85,9057609.46
2021-07-01,Telecom_Hosting,991171,21248,27273,2.735,57331,37.06,9.14,547664.34,25.78,16484,37.0,103.36,112.47,5.53,104.17,9057609.46,9051353.95
2021-08-01,Telecom_Hosting,989606,17743,19308,1.948,53946,32.89,9.15,362641.07,20.44,19326,45.9,95.68,114.16,5.5,103.46,9051353.95,8993235.24
2021-09-01,Telecom_Hosting,978223,14102,25486,2.575,37211,37.9,9.19,397033.53,28.15,13539,27.5,94.28,114.41,5.21,103.15,8993235.24,8914003.24
2021-10-01,Telecom_Hosting,974334,17784,21673,2.216,53994,32.94,9.15,378829.15,21.3,16868,48.3,99.88,115.46,5.27,103.16,8914003.24,9087852.39
2021-11-01,Telecom_Hosting,991503,34946,17777,1.825,107311,32.57,9.17,846898.0,24.23,14057,46.4,99.78,115.28,5.35,104.26,9087852.39,9074895.87
2021-12-01,Telecom_Hosting,988988,26277,28793,2.904,58047,45.27,9.18,689450.13,26.24,15017,27.9,92.84,114.88,5.43,103.87,9074895.87,9081486.25
2022-01-01,Telecom_Hosting,989193,28723,28518,2.884,75567,38.01,9.18,617026.41,21.48,15239,31.3,107.56,114.97,5.19,103.46,9081486.25,9167806.7
2022-02-01,Telecom_Hosting,1003071,40475,26598,2.689,120689,33.54,9.14,1128267.45,27.88,13397,38.0,96.77,112.7,5.21,102.69,9167806.7,9202426.83
2022-03-01,Telecom_Hosting,1006922,29017,25166,2.509,91015,31.88,9.14,538290.96,18.55,9531,41.9,92.76,110.44,5.05,100.36,9202426.83,9366197.82
2022-04-01,Telecom_Hosting,1017871,32481,21532,2.138,87046,37.31,9.2,896596.41,27.6,8355,29.3,94.01,109.18,5.02,99.48,9366197.82,9592971.31
2022-05-01,Telecom_Hosting,1043684,55697,29884,2.936,133777,41.63,9.19,1527667.48,27.43,20497,37.9,106.05,107.34,5.3,98.62,9592971.31,9727329.8
2022-06-01,Telecom_Hosting,1055568,37691,25806,2.473,83579,45.1,9.22,807258.24,21.42,18969,39.8,93.02,106.72,5.36,99.63,9727329.8,9935799.63
2022-07-01,Telecom_Hosting,1073889,40114,21792,2.065,114680,34.98,9.25,943233.29,23.51,16983,40.6,106.74,104.82,5.13,98.49,9935799.63,9945672.12
2022-08-01,Telecom_Hosting,1072149,23644,25385,2.364,58843,40.18,9.28,461716.84,19.53,16947,43.3,90.08,102.37,5.27,97.72,9945672.12,10097965.58
2022-09-01,Telecom_Hosting,1085985,39966,26130,2.437,109687,36.44,9.3,722614.51,18.08,12918,30.0,85.07,102.82,5.15,96.68,10097965.58,10208200.24
2022-10-01,Telecom_Hosting,1088330,34097,31752,2.924,90167,37.82,9.38,620750.55,18.21,16374,38.9,107.35,101.61,4.98,94.75,10208200.24,10083683.04
2022-11-01,Telecom_Hosting,1069304,8431,27457,2.523,22588,37.32,9.43,154785.39,18.36,12933,29.1,84.06,100.77,5.11,94.69,10083683.04,9989421.3
2022-12-01,Telecom_Hosting,1064158,25975,31121,2.91,76545,33.93,9.39,727737.53,28.02,15169,34.6,115.29,98.55,5.27,94.35,9989421.3,10185911.52
2023-01-01,Telecom_Hosting,1083127,46045,27076,2.544,104073,44.24,9.4,1431161.14,31.08,13235,37.2,109.15,97.36,5.01,94.09,10185911.52,10548094.33
2023-02-01,Telecom_Hosting,1116827,61062,27361,2.526,169809,35.96,9.44,1175731.25,19.25,18552,39.3,112.3,96.99,5.23,92.53,10548094.33,10705724.37
2023-03-01,Telecom_Hosting,1129391,36205,23641,2.117,98664,36.7,9.48,1011078.01,27.93,10484,29.1,114.32,95.54,4.59,92.9,10705724.37,10788532.76
2023-04-01,Telecom_Hosting,1131950,28755,26196,2.32,78401,36.68,9.53,562804.49,19.57,9091,39.5,120.25,95.83,5.08,91.11,10788532.76,10914491.35
2023-05-01,Telecom_Hosting,1136924,26975,22001,1.944,82001,32.9,9.6,825447.4,30.6,13917,43.7,111.9,95.36,4.95,91.0,10914491.35,11106764.14
2023-06-01,Telecom_Hosting,1152677,48907,33154,2.916,145090,33.71,9.64,982823.2,20.1,15085,33.6,112.74,95.41,4.88,92.28,11106764.14,11207921.56
2023-07-01,Telecom_Hosting,1155239,37078,34516,2.994,101842,36.41,9.7,787804.15,21.25,14661,35.5,122.74,95.38,4.91,91.11,11207921.56,11401890.44
2023-08-01,Telecom_Hosting,1166264,37074,26049,2.255,98090,37.8,9.78,1043383.82,28.14,9552,44.5,113.94,98.02,4.58,90.41,11401890.44,11684854.39
2023-09-01,Telecom_Hosting,1193549,54685,27400,2.349,124991,43.75,9.79,1668917.14,30.52,12296,31.3,81.87,98.99,4.83,90.35,11684854.39,11816262.9
2023-10-01,Telecom_Hosting,1201091,39747,32205,2.698,90223,44.05,9.84,1071672.64,26.96,13517,47.0,119.11,99.09,4.89,89.94,11816262.9,11762308.82
2023-11-01,Telecom_Hosting,1186306,18567,33352,2.777,54413,34.12,9.92,455130.93,24.51,10347,40.0,83.23,101.23,5.04,88.81,11762308.82,12055932.83
2023-12-01,Telecom_Hosting,1217832,59614,28089,2.368,156350,38.13,9.9,1758943.09,29.51,9761,23.9,81.0,101.46,4.72,89.1,12055932.83,11984368.3
2024-01-01,Telecom_Hosting,1207674,26158,36316,2.982,71175,36.75,9.92,699213.86,26.73,10953,32.9,119.09,103.21,4.66,88.6,11984368.3,11962644.7
2024-02-01,Telecom_Hosting,1207324,26513,26863,2.224,68427,38.75,9.91,605779.44,22.85,13122,46.2,118.62,102.86,4.68,89.46,11962644.7,12249843.36
2024-03-01,Telecom_Hosting,1233726,60586,34184,2.831,163398,37.08,9.93,1932101.02,31.89,22475,37.0,80.7,103.16,4.88,89.31,12249843.36,12607080.42
2024-04-01,Telecom_Hosting,1265526,59112,27312,2.214,142578,41.46,9.96,1741581.18,29.46,15022,42.6,119.86,104.98,4.77,91.24,12607080.42,12745255.44
2024-05-01,Telecom_Hosting,1274714,47771,38583,3.049,113449,42.11,10.0,1195992.52,25.04,16296,33.6,117.02,107.29,4.62,91.41,12745255.44,12789105.35
2024-06-01,Telecom_Hosting,1276809,33298,31203,2.448,99120,33.59,10.02,656262.17,19.71,19320,42.0,119.12,108.95,4.76,92.04,12789105.35,12973895.01
2024-07-01,Telecom_Hosting,1291060,41104,26854,2.103,92951,44.22,10.05,1189175.77,28.93,17452,39.6,77.99,110.2,4.67,93.66,12973895.01,12945893.64
2024-08-01,Telecom_Hosting,1287863,24961,28158,2.181,72177,34.58,10.05,665270.17,26.65,20088,34.1,119.27,111.13,4.79,93.72,12945893.64,13271245.65
2024-09-01,Telecom_Hosting,1313919,44958,18902,1.468,104783,42.91,10.1,1367274.76,30.41,17603,37.6,118.49,110.71,4.51,95.0,13271245.65,13198078.26
2024-10-01,Telecom_Hosting,1304464,25449,34903,2.656,62314,40.84,10.12,505752.51,19.87,16988,39.4,81.6,110.85,4.55,97.19,13198078.26,13325402.89
2024-11-01,Telecom_Hosting,1314542,37358,27280,2.091,102658,36.39,10.14,910082.52,24.36,23836,38.6,120.2,111.05,4.52,97.09,13325402.89,13414764.97
